Sate,Title,Description
8-Jul-13,MAG 90 - Body Builder,"#0130807


Martin Blackwood, Archival Assistant at the Magnus Institute, recording statement number 0130807, statement of Ross Davenport, given August 7th 2013.


Thanks to this week's Patrons: Patrick Monroe, Erika Kvistad, Tessa Wright, Rebecca Clayton, Elin Furu Markusson, Jennifer Shepard, Melanie Atherton Allen, Autumn Jarvis, Jonathan Bryan,Pedro Rosario Silva & Sara Johnson


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by Elizabeth Moffatt, Brock Winstead & Alexander J Newall.


Sound effects for this episode provided by previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear."
19-Oct-13,MAG 83 - Drawing a Blank,"#0131910


Statement of Chloe Ashburt, regarding a new window display at Fanton’s department store in Hammersmith. Original statement given 19th October 2013.


Thanks to this week's Patrons: SJ Costello, Hale McAnulty, Soapy J, Paige Owens, Ian Troman-Mason, Becca Read, Michael Clayton


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by Elizabeth Moffat, Brock Winstead & Alexander J Newall.


Sound effects for this episode provided by Kupp 2 and previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear."
1-Nov-13,MAG 30 Killing Floor,"<p>Case #0130111</p>
<p>Statement of David Laylow, regarding his time working at an industrial abattoir near Dalston.</p>
<p>…</p>
<p>If you have any questions for writer/narrator Jonathan Sims or the rest of the team at Rusty Quill visit our forums at www.RustyQuill.com and post it to the dedicated thread. We will be hosting an interview at the end of season one and all the best questions will be read on the recording!</p>
<p>Also, Rusty Quill is expanding! If you would be interested in joining our team and working with us to make new and excellent content send us an email to mail@RustyQuill.com, letting us know what skills you’ve got. (Currently only accepting UK based applicants for now.)</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at..."
23-Feb-14,MAG 32 Hive,"<p>Case #0142302<br />
Statement of Jane Prentiss, regarding a wasps nest in her attic.</p>
<p>…</p>
<p>If you have any questions for writer/narrator Jonathan Sims or the rest of the team at Rusty Quill visit our forums at www.RustyQuill.com and post it to the dedicated thread. We will be hosting an interview at the end of season one and all the best questions will be read on the recording!</p>
<p>Also, Rusty Quill is expanding! If you would be interested in joining our team and working with us to make new and excellent content, send us an email to mail@RustyQuill.com, letting us know what skills you’ve got. (Currently only accepting UK based applicants for now.)</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at..."
31-Mar-14,MAG 63 - The End of the Tunnel,"Case #0143103

Statement of Erin Gallagher-Nelson, regarding an urban exploration trip beneath St Paul’s Church West Hackney. Original statement given March 31st 2014.

Thank you to this week's patrons: Deirdre, SJPatterson, Kay Hoddy, Daniele Boucher, Jen Moore, Paul Courtenay, Tyler Shields, Jen Roth, Cathy Sandifer, Jeffrey Lassanske

If you'd also like to support us, head to www.patreon.com/rustyquill

Sound effects for this episode provided by previously credited artists via freesound.org.

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear!

If you want to get in touch with us, feel free to tweet us at @therustyquill, drop us an email at mail@rustyquill.com or comment on our dedicated Forums available at rustyquill.com."
4-Jun-14,MAG 102 - Nesting Instinct,"Case #0140406


Statement of François Deschamps, regarding the family and presumed marriage of Benoît Maçon. Statement given June 4th 2014.




Content Warnings for this episode are at the end of the show notes.




Thanks to this week's Patrons: Tarryn McKay, Richard Nevell, Andrew Burton, Colleen Jay, Ally Greenspan, Elizabeth Parker, Jonathan Poock, Daemonswolf




If you'd like to support us, head to www.patreon.com/rustyquill




Edited by Brock Winstead & Alexander J Newall.




Performances:


 - ""The Archivist"" - Jonathan Sims
 - ""Elias Bouchard"" - Ben Meredith
 - ""Melanie King"" - Lydia Nicholas




Sound effects for this episode provided by qubodup, 14FPanskaKremenakova_Marie & previously credited artists via freesound.org.




Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1




You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.




Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.




Content Warning for:


 - &nbsp;Knife violence
 - &nbsp;Infestation
 - &nbsp;Mind-control"
2-Jul-14,MAG 103 - Cruelty Free,"Case #0140207


Statement of Dylan Anderson, regarding an unusual pig he acquired on his farm near the Marlborough Forest, New Zealand. Original statement given July 2nd 2014.




Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Gillian Mohn, Heather Hartwell, mj erickson, Samantha Dawdy, Michelle Baniqued, Sara Williams, Jakob Jakobsen, Steven Gerhart, Morae, Trish M


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by Elizabeth Moffatt, Brock Winstead & Alexander J Newall.




Performances:


 - ""The Archivist"" - Jonathan Sims
 - ""Kurt Anderson"" - Steve Violich
 - ""Alice 'Daisy' Tonner"" - Fay Roberts




Sound effects for this episode provided by blaukreuz, evsecrets, editor-adp.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.




Content Warning for:


 - mild language
 - animal cannibalism
 - body horror"
10-Oct-14,MAG 87 - The Uncanny Valley,"#0141010


Case 0141010 - Sebastian Skinner. Incident occurred in Gwydir forest, North Wales, September 2014. Statement given 10th October, 2014. Committed to tape 4th April, 2015.


Thanks to this week's Patrons: Emily Morris, Megan Penney, Laylah Hunter, Lil Dodecee, C.J.Hill, Margaret Gilbertson, Harper Bovberg, Kenneth R. Gerety, Tall Kat, Emma Andersson & Mighterbump


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by Elizabeth Moffatt, Brock Winstead & Alexander J Newall.


Sound effects for this episode provided by MrAuralization, Krisboruff and previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear."
9-Nov-14,MAG 15 Lost John’s Cave,"<p>Case #0140911</p>
<p>Statement of Laura Popham, regarding her experience exploring the Three Counties System of caves with her Sister Aleana Sanderson.</p>
<p>…</p>
<p>Featuring Hannah Brankin as Laura Popham.</p>
<p>Thanks again for all the support from everyone since we launched. All your reviews and recommendations have really had an impact on our launch.</p>
<p>The Magnus Archives is actually registered with the People’s Podcast Awards and they are taking nominations till the end of April. Being nominated would be a huge deal for a small, independent production company like ours so if you take the time to nominate us it would make a massive difference to us.</p>
<p>Just head over to www.podcastawards.com and enter The Magnus Archives under the “Arts” category (and “People’s Choice” category if you are feeling generous. You could even enter our other Podcast Rusty Quill Gaming into the “Games and Hobbies” category while you are there.</p>
<p>Our URL is www.RustyQuill.com and be sure to leave a name..."
9-Dec-14,MAG 6 Squirm,"<p>Case #0140912</p>
<p>Statement of Timothy Hodge regarding his sexual encounter with Harriet Lee and her subsequent death.</p>
<p>…</p>
<p>For the duration of launch we will be releasing three episodes a week instead of our normal weekly release schedule. We hope you enjoy the extra terror…</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded  to your device. It’s more convenient for you and really helps us out. Even better, leave us a review. The more reviews we get, the more people listen and the more we can make!</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at www.RustyQuill.com.</p>
<p>For more information visit RustyQuill.com.</p>"
14-Mar-15,MAG 11 Dreamer,"<p>Case #0151403</p>
<p>Statement of Antonio Blake , regarding his recent dreams about Gertrude Robinson, previous Head Archivist of the Magnus Institute.</p>
<p>…</p>
<p>Thanks again for everyone who has taken the time to subscribe and leave us a review. We have been enjoying our time on the front page of iTunes. Hopefully we can keep the ball rolling and keep you all awake at night…</p>
<p>For the duration of launch we will be releasing three episodes a week instead of our normal weekly release schedule. We hope you enjoy the extra terror…</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded  to your device. Visit Rustyquill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com</p>
<p>For more information visit RustyQuill,com</p>"
19-Apr-15,MAG 25 Growing Dark,"<p>Case #0151904</p>
<p>Statement of Mark Bilham, regarding events culminating in his visit to Hither Green chapel.</p>
<p>…</p>
<p>Thanks again to everyone who took the time to vote for us in the 2016 Podcast Awards, sadly we didn’t manage to win this year but just getting nominated will be great boost for us.</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com</p>
<p>For more information visit www.RustyQuill.com</p>"
20-May-15,MAG 64 - Burial Rites,"#0152005

Statement of Donna Gwynne, regarding an unlicenced archeological dig near the Red Sea in Egypt. Original statement given May 20th 2015.

Thank you to this week's patrons: Jack Burton, Sarah Lykins, Florence, Shayne Legassia, Danielle Sturgeon, David Kilgannon, Rachel Manley, Danielle McCrary, Mark Sutton, Chase T Hopper

If you'd also like to support us, head to www.patreon.com/rustyquill

Sound effects for this episode provided by previously credited artists via freesound.org.

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear!

If you want to get in touch with us, feel free to tweet us at @therustyquill, drop us an email at mail@rustyquill.com or comment on our dedicated Forums available at rustyquill.com."
8-Jun-15,MAG 74 - Fatigue,"#0150806

Statement of Lydia Halligan regarding her insomnia. Original statement given 8th June 2015.

Thanks to this week's Patrons:
Zach, Lawrence Allen, Bob Hundertmark, Cassandra Berry, Grant Lindley, Alexandra Spouse, Alexander Linde Nielsen, Sarah Mehra, Alexis Arendt, Martyn/I, Ben Am Very Smelly

If you'd like to support us, head to www.patreon.com/rustyquill 

Sound effects for this episode provided by previously credited artists via freesound.org. 

Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1 

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear."
4-Sep-15,MAG 16 Arachnophobia,"<p>Case #0150409</p>
<p>Statement of Carlos Vittery regarding his Arachnophobia and its manifestations.</p>
<p>…</p>
<p>Thanks to everyone who took the time to nominate us for the People’s Podcast Awards, we really appreciate your support.</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded  to your device. Visit Rustyquill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com</p>
<p>For more information visit RustyQuill,com</p>"
13-Jan-16,MAG 13 Alone,"<p>Case #0161301</p>
<p>Statement of Naomi Herne, regarding the events following the funeral of her fiancé, Evan Lukas.<br />
…</p>
<p>Today’s episode features guest star Katie Davison.</p>
<p>Thanks again for all the support from everyone since we launched. All your reviews and recommendations have really had an impact on our launch.</p>
<p>The Magnus Archives is actually registered with the People’s Podcast Awards and they are taking nominations till the end of April. Being nominated would be a huge deal for a small, independent production company like ours so if you take the time to nominate us it would make a massive difference to us.</p>
<p>Just head over to www.podcastawards.com and enter The Magnus Archives under the “Arts” category (and “People’s Choice” category if you are feeling generous. You could even enter our other Podcast Rusty Quill Gaming into the “Games and Hobbies” category while you are there.</p>
<p>Our URL is www.RustyQuill.com and be sure to leave a name and email address to prove..."
9-Feb-16,MAG 41 Too Deep,"<p>Case #0160902</p>
<p>Statement of Jonathan Sims, Head Archivist of the Magnus Institute, regarding exploration of the tunnels recently discovered below the archive. Statement given direct, 2nd September 2016.</p>
<p>…</p>
<p>Welcome back to The Magnus Archives…</p>
<p>The Magnus Archives podcast is a listed finalist in the 2016 Audio Verse awards! We are competing for ‘Best New, Original, Long Form, Small Cast, Ongoing, Production.’</p>
<p>It would be a great help to us if you are able to visit http://www.audioverseawards.net/site/vote/ and vote for us before ballots close on Wednesday December 7th. Also, remember that in order for your vote to count you must vote in every category not just ours.</p>
<p>If you haven’t already, be sure to visit www.RustyQuill.com/subscribe in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.</p>
<p>If you want to get in touch with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or..."
10-Feb-16,MAG 47 The New Door,"<p>Case #0161002</p>
<p>Statement of Helen Richardson, regarding a new door in a house she was selling. Statement recorded direct from subject 2nd October 2016.<br />
…</p>
<p>Today’s episode has been sponsored by Failbetter Games, so be sure to check out Fallen London at www.Failbettergames.com/RustyQuill for free actions!</p>
<p>If you haven’t already, be sure to visit www.RustyQuill.com/subscribe in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.</p>
<p>If you want to get in touch with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com.</p>
<p>For more information visit www.RustyQuill.com </p>
<p>SFX this week from FreqMan, MoKoLoKo, Mixedupmoviestuff, paulmessier and previously credited artists via www.freesound.org.</p>"
12-Mar-16,MAG 22 Colony,"<p>Case #0161203</p>
<p>Statement of Martin Blackwood, archival assistant at the Magnus Institute, London, regarding a close encounter with something he believes to have once been Jane Prentiss.</p>
<p>…</p>
<p>There is still time to vote for The Magnus Archives in the Arts category of the 2016 Podcast Awards! Don’t forget that our other podcast, Rusty Quill Gaming, has also been nominated in the Games and Hobbies category.</p>
<p>Daily voting continues until Sunday 12th June and you can vote for each of our podcasts once a day during that period at www.podcastawards.com. Also be sure to verify your vote every day by selecting the option in the email receipt you are sent.</p>
<p>Like we keep saying, this voting system allows us to duke it out with companies that are much larger than us so do please take the time to vote every day in the period. If we were to win it would allow us to bring you much more content, sooner and to a higher quality.</p>
<p>Be sure to subscribe using your podcast software of..."
2-Apr-16,MAG 26 A Distortion,"<p>Case #0160204</p>
<p>Statement of Sasha James, assistant archivist at the Magnus Institute, London, regarding a series of paranormal sightings.<br />
…</p>
<p>If you have any questions for Jonathan Sims or the rest of the team at Rusty Quill visit our forums at www.RustyQuill.com and post it to the dedicated thread. We will be hosting an interview at the end of season one and all the best questions will be read on the recording!</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com</p>
<p>For more information visit www.RustyQuill.com</p>"
17-Apr-16,MAG 28 Skintight,"<p>Case #0161704<br />
Statement of Melanie King, regarding events at the abandoned Cambridge Military Hospital during filming in January 2015.</p>
<p>…</p>
<p>If you have any questions for writer/narrator Jonathan Sims or the rest of the team at Rusty Quill visit our forums at www.RustyQuill.com and post it to the dedicated thread. We will be hosting an interview at the end of season one and all the best questions will be read on the recording!</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com</p>
<p>For more information visit www.RustyQuill.com</p>"
12-Jul-16,MAG 34 Anatomy Class,"<p>Case #0161207<br />
Statement of Dr. Lionel Elliott, regarding a series of events that took place during his class Introduction to Human Anatomy and Physiology, at Kings College, London.</p>
<p>…</p>
<p>If you have any questions for writer/narrator Jonathan Sims or the rest of the team at Rusty Quill visit our forums at www.RustyQuill.com and post it to the dedicated thread. We will be hosting an interview at the end of season one and all the best questions will be read on the recording!</p>
<p>Also, Rusty Quill is expanding! If you would be interested in joining our team and working with us to make new and excellent content, send us an email to mail@RustyQuill.com, letting us know what skills you’ve got. (Currently only accepting UK based applicants for now.)</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us..."
29-Jul-16,MAG 40 Human Remains,"<p>Case #0160729-B<br />
Statement of Elias Buchard, Tim Stoker, Sasha James, Martin Blackwood and Jonathan Sims regarding the infestation of the Magnus Institute by the entity formerly known as Jane Prentiss. </p>
<p>…</p>
<p>And so we arrive at the end of Season 1. </p>
<p>Season 2 of The Magnus Archives will commence on Thursday 1st December but before then we will be featuring an interview with Jonathan Sims, writer and voice of the archivist.</p>
<p>If you can’t wait that long, Jonathan will also be appearing as a special guest in the Halloween special of our sister program, the Rusty Quill Gaming Podcast, alongside Alexander J Newall and Ben Meredith, the voices of Martin and Elias. Be sure to subscribe at www.rustyquill.com/subscribe or via the podcast app of your choice.</p>
<p>Thank you to everyone who has listened and helped our small operation grow into the cult it has. If you haven’t already be sure to leave a review, check out our forums and spread the word of your favourite Horror podcast...."
29-Jul-16,MAG 39 Infestation,"<p>Case #0160729-A</p>
<p>Original recording of Jane Prentiss’ attack upon The Magnus Institute, London, 29th July 2016.</p>
<p>…</p>
<p>Next week’s episode is the final in season 1 of the Magnus Archives. Season 2 will be coming after a short break. More details next week.</p>
<p>Also, don’t forget, Rusty Quill is expanding! If you would be interested in joining our team and working with us to make new and excellent content, send us an email to mail@RustyQuill.com, letting us know what skills you’ve got. (Currently only accepting UK based applicants.)</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com</p>
<p>SFX today from Inkington..."
19-Sep-16,MAG 43 Section 31,"<p>Case #0160919</p>
<p>Statement of Police Constable Basira Hussain regarding her time investigating strange occurrences as part of Section 31. Statement taken direct from subject September 19th 2016.</p>
<p>…</p>
<p>Special thanks to Ian Hayles for editing assitance with today’s episode.</p>
<p>If you haven’t already, be sure to visit www.RustyQuill.com/subscribe in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.</p>
<p>If you want to get in touch with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com.</p>
<p>For more information visit www.RustyQuill</p>"
3-Nov-16,MAG 55 Pest Control,"Case #0160311

Statement of Jordan Kennedy, regarding several encounters while working in pest control.

...

If you haven’t already, be sure to visit www.RustyQuill.com/subscribe in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.

If you want to get in touch with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at www.rustyquill.com."
1-Dec-16,MAG 61 Hard Shoulder,"Case #0160112

Statement of Detective Alice “Daisy” Tonner, regarding the traffic stop of a delivery van on the M6 near Preston on the afternoon of 24th July 2002. 

Thank you to this week's patrons: Will Blackstock, Stuart McQueen, Kevin Turner, Simon Freeston, Theo Imeson, Bryn, Laura McCarthy, Jennifer Davis, Kate Cheema and Robert Espy

If you'd also like to support us, head to www.patreon.com/rustyquill

Sound effects for this episode provided by previously credited artists via freesound.org.

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear!

If you want to get in touch with us, feel free to tweet us at @therustyquill, drop us an email at mail@rustyquill.com or comment on our dedicated Forums available at rustyquill.com."
7-Jan-17,MAG 65 - Binary,"#0170701

Statement of Tessa Winters, regarding a strange computer program she downloaded from the deep web three months ago. Statement recorded direct from subject, 7th January 2017.

Thank you to this week's patrons: Kate Onyett, Nik Crombie, Josh Harper-Cole, Alice Carroll, Lawrence Medina, Doug Warren, Chris, Kirsty Sider, Suki Wan, Aaron Tunney

If you'd also like to support us, head to www.patreon.com/rustyquill

Sound effects for this episode provided by previously credited artists via freesound.org.

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear!

If you want to get in touch with us, feel free to tweet us at @therustyquill, drop us an email at mail@rustyquill.com or comment on our dedicated Forums available at rustyquill.com."
25-Jan-17,MAG 71 - Underground,"#0172501

Statement of Karolina Górka, regarding a brief period trapped on the London Underground. Statement taken direct from subject 25th January 2017. 

If you'd like to support us, head to www.patreon.com/rustyquill

Sound effects for this episode provided by previously credited artists via freesound.org.

Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear!"
11-Feb-17,MAG 73 - Police Lights,"#0171102

You said it started with a kidnapping case?

Thanks to this week's Patrons: Joli Furnari, Smriti Prabhat, Daniel I, Matthew Seidl, Laura, Kathleen Birley, Caroline, Brendan Reilly, Christopher Otero, Ramius

If you'd like to support us, head to www.patreon.com/rustyquill

Sound effects for this episode provided by previously credited artists via freesound.org.

Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear."
13-Feb-17,MAG 76 - The Smell of Blood,"#0171302 

Statement of Melanie King, regarding her further researches into... war ghosts. Recorded direct from subject 13th February 2017. 

Thanks to this week's Patrons: Will Coleda, Laura Eberly, Jon Bettin, Alicia Ochsner, Brad Bone, Alan Sharpe, Vivianann, Loren Davis, Shelly Darrington, Macy Grant 

If you'd like to support us, head to www.patreon.com/rustyquill 

Sound effects for this episode provided by previously credited artists via freesound.org. 

Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1 

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear."
16-Feb-17,MAG 80 - The Librarian,"#0170216-B

Statement of Jurgen Leitner regarding his life and works. Recorded direct from subject 16th February 2017.

If you'd like to support us, head to www.patreon.com/rustyquill 

Sound effects for this episode provided by BathroomCrooner, SoundsForHim, StudentTanita, hank_richard, daboy291, TheFilmLook, Slave2theLight, InspectorJ, youandbiscuitme, Alternicity, Sethroph, skradz and previously credited artists via freesound.org. 

Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1 

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear."
16-Feb-17,MAG 79 - Hide and Seek,"#0170216-A

Original recording of manifestations and sightings at the Magnus Institute, London, 16th February 2017.

If you'd like to support us, head to www.patreon.com/rustyquill 

Sound effects for this episode provided by Stubb, saturdaysoundguy, apolloaiello, wolfey1923, cornwallis89, thalamus-lab, bareform, kd-jack, jorickhoofd, splicesound, adam-n, editor-adp, dnab55 and previously credited artists via freesound.org. 

Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1 

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear."
17-Feb-17,MAG 82 - The Eyewitnesses,"#0171702-B


Statement of Alice ""Daisy"" Tonner, regarding the crimes and death of Calvin Benchley. Statement never given.


Thanks to this week's Patrons: Dylan Baldanza, Maura Manninen, Rae Valentine, Dai, Greg Meyer, Theresa Bhagavatula, Oltanya, Garrett Smith, Joey, Tracey Van Haaften


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by Elizabeth Moffat, Brock Winstead & Alexander J Newall.


Sound effects for this episode provided by Filmfan87, youandbiscuitme, soundsforhim and previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear."
17-Feb-17,MAG 81 - A Guest for Mr. Spider,"#0171702-A


Statement of Jonathan Sims, regarding a childhood encounter with a book formerly possessed by Jurgen Leitner. Statement recorded by subject, February 18th 2017.


Thanks to this week's Patrons: FooLord, Justen Riley, Chris Taylor, Felix Murley-Anderson, Chris Mahoney, Daniel Lindroth, Sara Eagan, Judith Taylor, Vivien Chin, Ric Crossman


If you'd like to support us, head to www.patreon.com/rustyquill


Sound effects for this episode provided by previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear."
24-Apr-17,MAG 89 - Twice as Bright,"#0172404


Statement of Jude Perry, regarding... some advice. Recorded direct from subject, April 24th 2017.


Thanks to this week's Patrons: Rich Jones, Heather Paulson, Laura Greene, Wren Griffin-Harrigan, Anthony Sigman-Lowery, Jimmy Smith, Alexander Everett, Victoria Barnette, Emmett Lou Moon & and Ken Blakely


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by Elizabeth Moffatt, Brock Winstead & Alexander J Newall.


Sound effects for this episode provided by saturdaysoundguy & previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear."
28-Apr-17,MAG 92 - Nothing Beside Remains,"#0172804-B


Statement of Barnabas Bennett, as given in a short letter to Jonah Magnus. April 9th 1824.


Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Brian Karas, Brittany Shaw, Katharina, Laura Hill, Patrick Schneeweis, Mary S, David Hicks, Jeremy McQuadie, Muriel Roussillon, Luke Alexander and Bertram Morton


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by Elizabeth Moffatt, Brock Winstead & Alexander J Newall.


Sound effects for this episode provided by mefrancis13, jrssandoval, SpliceSound, theshuggie, EskimoNeil & previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.


Content Warning for:
 - Isolation
 - Police Brutality
 - Gun Violence"
